time,cpu_percent,cpu_freq_mhz,ram_percent,ram_used_gb,disk_read_mb_s,disk_write_mb_s,net_sent_mb_s,net_recv_mb_s,gpu_util_percent,gpu_mem_percent,gpu_temp_c,gpu_power_w,label
0.0,0.5,2611.2,47.3,7.32,0.0,0.0,0.001,0.003,0.0,0.0,49.0,16.62,idle
0.1,1.0,2611.2,47.3,7.32,0.0,0.0,0.01,0.013,0.0,0.0,49.0,16.62,idle
0.2,2.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.62,idle
0.3,0.7,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
0.4,1.9,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
0.5,0.9,2611.2,47.3,7.32,0.0,0.0,0.006,0.008,0.0,0.0,49.0,16.59,idle
0.6,1.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
0.7,0.8,2611.2,47.4,7.33,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
0.8,0.8,2611.2,47.4,7.32,0.0,0.0,0.006,0.007,0.0,0.0,49.0,16.59,idle
0.9,1.4,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.0,2.3,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.1,1.7,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.2,3.7,2611.2,47.4,7.33,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.3,1.3,2611.2,47.4,7.33,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.4,4.2,2611.2,47.4,7.33,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.5,5.9,2611.2,47.3,7.32,0.0,0.0,0.031,0.039,0.0,0.0,49.0,16.59,idle
1.6,1.5,2611.2,47.4,7.33,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.7,1.4,2611.2,47.4,7.33,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.8,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
1.9,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
2.0,1.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
2.1,0.5,2611.2,47.3,7.32,0.0,0.0,0.011,0.013,0.0,0.0,49.0,16.59,idle
2.2,1.5,2611.2,47.3,7.32,0.973,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
2.3,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.59,idle
2.4,2.0,2611.2,47.4,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.79,idle
2.5,3.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.79,idle
2.6,1.5,2611.2,47.3,7.32,0.0,0.0,0.011,0.013,0.0,0.0,49.0,16.79,idle
2.7,0.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.79,idle
2.8,1.5,2611.2,47.3,7.32,0.0,0.468,0.0,0.0,0.0,0.0,49.0,16.79,idle
2.9,0.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.79,idle
3.0,1.0,2611.2,47.3,7.32,0.0,0.664,0.0,0.0,0.0,0.0,49.0,16.79,idle
3.1,0.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.79,idle
3.2,23.5,2611.2,47.3,7.32,0.0,0.0,0.01,0.013,0.0,0.0,49.0,16.79,idle
3.3,12.2,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.79,idle
3.4,1.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
3.5,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
3.6,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
3.7,1.5,2611.2,47.3,7.32,0.0,0.0,0.01,0.013,0.0,0.0,49.0,16.89,idle
3.8,2.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
3.9,0.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
4.0,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
4.1,1.5,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
4.2,2.0,2611.2,47.3,7.32,0.0,0.0,0.01,0.013,0.0,0.0,49.0,16.89,idle
4.3,2.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.89,idle
4.4,1.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,49.0,16.67,idle
