time,cpu_percent,cpu_freq_mhz,ram_percent,ram_used_gb,disk_read_mb_s,disk_write_mb_s,net_sent_mb_s,net_recv_mb_s,gpu_util_percent,gpu_mem_percent,gpu_temp_c,gpu_power_w,label
0.0,0.1,2611.2,47.2,7.31,0.0,0.016,0.0,0.0,0.0,0.0,40.0,15.62,idle
0.1,1.0,2611.2,47.3,7.31,0.0,0.0,0.011,0.013,0.0,0.0,40.0,15.62,idle
0.2,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,1.0,40.0,15.62,idle
0.3,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,1.0,40.0,15.62,idle
0.4,1.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.62,idle
0.5,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.62,idle
0.6,1.0,2611.2,47.2,7.31,0.0,0.0,0.011,0.013,0.0,0.0,40.0,15.62,idle
0.7,1.5,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.62,idle
0.8,1.5,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.62,idle
0.9,0.5,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.62,idle
1.0,1.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.1,1.0,2611.2,47.2,7.31,0.0,0.196,0.011,0.013,0.0,0.0,40.0,16.02,idle
1.2,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.3,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.4,0.5,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.5,0.5,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.6,0.5,2611.2,47.2,7.31,0.0,0.0,0.011,0.013,0.0,0.0,40.0,16.02,idle
1.7,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.8,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
1.9,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.02,idle
2.0,0.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.11,idle
2.1,1.5,2611.2,47.3,7.31,0.0,0.0,0.011,0.013,0.0,0.0,40.0,16.11,idle
2.2,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.11,idle
2.3,1.0,2611.2,47.2,7.31,0.0,0.665,0.0,0.0,0.0,0.0,40.0,16.11,idle
2.4,0.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.11,idle
2.5,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.11,idle
2.6,0.5,2611.2,47.3,7.31,0.0,0.0,0.001,0.011,0.0,0.0,40.0,16.11,idle
2.7,1.5,2611.2,47.3,7.31,0.0,0.0,0.009,0.003,0.0,0.0,40.0,16.11,idle
2.8,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.11,idle
2.9,1.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.11,idle
3.0,17.6,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.16,idle
3.1,3.0,2611.2,47.2,7.31,0.0,0.0,0.001,0.01,0.0,0.0,40.0,16.16,idle
3.2,1.0,2611.2,47.2,7.31,0.0,0.0,0.009,0.003,0.0,0.0,40.0,16.16,idle
3.3,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,16.16,idle
