Time (s),Acceleration x (m/s^2),label
0.0017081666737794,0.0240998840332031,Unlabeled
0.0117321666330099,0.0808319091796875,Unlabeled
0.021756166650448,0.0660127258300781,Unlabeled
0.0317801666678861,0.0416134643554688,Unlabeled
0.0418041666853242,0.0404159545898438,Unlabeled
0.0518281666445546,0.0571810913085938,Unlabeled
0.0618511666543782,0.0612226867675781,Unlabeled
0.0718751666718163,0.0630189514160156,Unlabeled
0.0818991666892543,0.049097900390625,Unlabeled
0.0919231666484848,0.0907113647460938,Unlabeled
0.101947166665923,0.04071533203125,Unlabeled
0.111971166683361,0.0549357604980469,Unlabeled
0.121994375018403,0.0398171997070313,Unlabeled
0.132018374977633,0.0833766174316406,Unlabeled
0.142042374995071,0.0273930358886719,Unlabeled
0.15206637501251,0.0812809753417969,Unlabeled
0.16209037497174,0.0240998840332031,Unlabeled
0.172114374989178,0.0660127258300781,Unlabeled
0.182138375006616,0.0261955261230469,Unlabeled
0.192162374965847,0.0663121032714844,Unlabeled
0.202186374983285,0.047900390625,Unlabeled
0.212210375000723,0.0715512084960938,Unlabeled
0.222234375018161,0.0338296508789063,Unlabeled
0.232258374977391,0.0652642822265625,Unlabeled
0.242282374994829,0.029937744140625,Unlabeled
0.252306375012267,0.0432600402832031,Unlabeled
0.262330374971498,0.044307861328125,Unlabeled
0.272354374988936,0.0604742431640625,Unlabeled
0.282378375006374,0.0446072387695313,Unlabeled
0.292402374965604,0.044307861328125,Unlabeled
0.302426374983043,0.0434097290039063,Unlabeled
0.312450375000481,0.0528401184082031,Unlabeled
0.322474375017919,0.0417631530761719,Unlabeled
0.332498374977149,0.0468525695800781,Unlabeled
0.342522374994587,0.0452059936523438,Unlabeled
0.352545375004411,0.0700543212890625,Unlabeled
0.362569375021849,0.0441581726074219,Unlabeled
0.372593374981079,0.0546363830566406,Unlabeled
0.382617374998517,0.0661624145507813,Unlabeled
0.392641375015955,0.0335302734375,Unlabeled
0.402665374975186,0.0717008972167969,Unlabeled
0.412689374992624,0.0474513244628906,Unlabeled
0.422713375010062,0.080233154296875,Unlabeled
0.432737374969292,0.046702880859375,Unlabeled
0.442761374986731,0.0749940490722656,Unlabeled
0.452785375004169,0.0615220642089844,Unlabeled
0.462809375021607,0.0649649047851563,Unlabeled
0.472833374980837,0.0556842041015625,Unlabeled
0.482857374998275,0.0841250610351563,Unlabeled
0.492881375015713,0.0366737365722656,Unlabeled
0.502905374974944,0.0559835815429688,Unlabeled
0.512929374992382,0.0577798461914063,Unlabeled
0.52295337500982,0.0721499633789063,Unlabeled
0.53297737496905,0.0591270446777344,Unlabeled
0.543001374986488,0.0589773559570313,Unlabeled
0.553025375003927,0.0637673950195313,Unlabeled
0.563049375021365,0.0660127258300781,Unlabeled
0.573073374980595,0.0450563049316406,Unlabeled
0.583097374998033,0.0422122192382813,Unlabeled
0.593121375015471,0.0672102355957031,Unlabeled
0.603145374974702,0.049097900390625,Unlabeled
0.61316937499214,0.0543370056152344,Unlabeled
0.623192375001963,0.0431103515625,Unlabeled
0.633216375019401,0.0588276672363281,Unlabeled
0.643240374978632,0.0236508178710938,Unlabeled
0.65326437499607,0.0375718688964844,Unlabeled
0.663288375013508,0.0441581726074219,Unlabeled
0.673312374972738,0.0414637756347656,Unlabeled
0.683336374990176,0.0380209350585938,Unlabeled
0.693360375007615,0.0544866943359375,Unlabeled
0.703384374966845,0.0318836975097656,Unlabeled
0.713408374984283,0.0386196899414063,Unlabeled
0.723432375001721,0.0393681335449219,Unlabeled
0.733456375019159,0.0528401184082031,Unlabeled
0.74348037497839,0.056282958984375,Unlabeled
0.753504374995828,0.0438587951660156,Unlabeled
0.763528375013266,0.0531394958496094,Unlabeled
0.773552374972496,0.0594264221191406,Unlabeled
0.783576374989934,0.0452059936523438,Unlabeled
0.793600375007372,0.0517922973632813,Unlabeled
0.803624374966603,0.0679586791992188,Unlabeled
0.813648374984041,0.0597257995605469,Unlabeled
0.823672375001479,0.0535885620117188,Unlabeled
0.833696375018917,0.056282958984375,Unlabeled
0.843720374978147,0.0520916748046875,Unlabeled
0.853744374995586,0.0537382507324219,Unlabeled
0.863768375013024,0.0434097290039063,Unlabeled
0.873791375022847,0.0669108581542969,Unlabeled
0.883815374982078,0.0751437377929688,Unlabeled
0.893839374999516,0.0498463439941406,Unlabeled
0.903863375016954,0.0636177062988281,Unlabeled
0.913887374976184,0.0717008972167969,Unlabeled
0.923911374993622,0.0567320251464844,Unlabeled
0.93393537501106,0.0474513244628906,Unlabeled
0.943959374970291,0.0739462280273438,Unlabeled
0.953983374987729,0.0553848266601563,Unlabeled
0.964007375005167,0.0496966552734375,Unlabeled
0.974031375022605,0.0580792236328125,Unlabeled
0.984055374981836,0.0531394958496094,Unlabeled
0.994079374999274,0.0621208190917969,Unlabeled
1.00410337501671,0.0468525695800781,Unlabeled
1.01412737497594,0.0389190673828125,Unlabeled
1.02415137499338,0.0405656433105469,Unlabeled
1.03417537501082,0.0428109741210938,Unlabeled
1.04419937497005,0.0465531921386719,Unlabeled
1.05422337498749,0.0505947875976563,Unlabeled
1.06424737500492,0.0507444763183594,Unlabeled
1.07427137502236,0.0314346313476563,Unlabeled
1.08429537498159,0.0544866943359375,Unlabeled
1.09431837499142,0.0422122192382813,Unlabeled
1.10434237500886,0.05508544921875,Unlabeled
1.11436637496809,0.0392184448242188,Unlabeled
1.12439100001939,0.0470022583007813,Unlabeled
1.13441499997862,0.0523910522460938,Unlabeled
1.14443899999606,0.0248483276367188,Unlabeled
1.15446300001349,0.0655636596679688,Unlabeled
1.16448699997272,0.0573307800292969,Unlabeled
1.17451099999016,0.0314346313476563,Unlabeled
1.1845350000076,0.0505947875976563,Unlabeled
1.19455899996683,0.0561332702636719,Unlabeled
1.20458299998427,0.0769400024414063,Unlabeled
1.21460700000171,0.0374221801757813,Unlabeled
1.22463100001914,0.0588276672363281,Unlabeled
1.23465499997837,0.0499960327148438,Unlabeled
1.24467899999581,0.0499960327148438,Unlabeled
1.25470300001325,0.0540376281738281,Unlabeled
1.26472699997248,0.0464035034179688,Unlabeled
1.27475099998992,0.0740959167480469,Unlabeled
1.28477500000736,0.05987548828125,Unlabeled
1.29479899996659,0.0511935424804688,Unlabeled
1.30482199997641,0.0739462280273438,Unlabeled
1.31484599999385,0.0612226867675781,Unlabeled
1.32487000001129,0.0402662658691406,Unlabeled
1.33489399997052,0.0627195739746094,Unlabeled
1.34491799998796,0.0667611694335938,Unlabeled
1.35494200000539,0.0425115966796875,Unlabeled
1.36496600002283,0.0429606628417969,Unlabeled
1.37498999998206,0.0582289123535156,Unlabeled
1.3850139999995,0.0589773559570313,Unlabeled
1.39503800001694,0.041912841796875,Unlabeled
1.40506199997617,0.0477507019042969,Unlabeled
1.41508599999361,0.0510438537597656,Unlabeled
1.42511000001105,0.0492475891113281,Unlabeled
1.43513399997028,0.0489482116699219,Unlabeled
1.44515799998771,0.0425115966796875,Unlabeled
1.45518200000515,0.0702040100097656,Unlabeled
1.46520600002259,0.0318836975097656,Unlabeled
1.47522999998182,0.0544866943359375,Unlabeled
1.48525399999926,0.0537382507324219,Unlabeled
1.4952780000167,0.0624201965332031,Unlabeled
1.50530099996831,0.0196092224121094,Unlabeled
1.51532499998575,0.056282958984375,Unlabeled
1.52534900000319,0.0544866943359375,Unlabeled
1.53537300002063,0.0471519470214844,Unlabeled
1.54539699997986,0.0637673950195313,Unlabeled
1.5554209999973,0.0582289123535156,Unlabeled
1.56544500001473,0.053887939453125,Unlabeled
1.57546899997396,0.0513432312011719,Unlabeled
1.5854929999914,0.0535885620117188,Unlabeled
1.59551700000884,0.0441581726074219,Unlabeled
1.60554099996807,0.0384700012207031,Unlabeled
1.61556499998551,0.0615220642089844,Unlabeled
1.62558900000295,0.05987548828125,Unlabeled
1.63561300002038,0.0622705078125,Unlabeled
1.64563699997962,0.0471519470214844,Unlabeled
1.65566099999705,0.0654139709472656,Unlabeled
1.66568500001449,0.0484991455078125,Unlabeled
1.67570899997372,0.0423619079589844,Unlabeled
1.68573299999116,0.0387693786621094,Unlabeled
1.69575600000098,0.0640667724609375,Unlabeled
1.70578000001842,0.0651145935058594,Unlabeled
1.71580399997765,0.0332308959960938,Unlabeled
1.72582799999509,0.0600251770019531,Unlabeled
1.73585200001253,0.0568817138671875,Unlabeled
1.74587599997176,0.0594264221191406,Unlabeled
1.7558999999892,0.0555345153808594,Unlabeled
1.76592400000663,0.0622705078125,Unlabeled
1.77594799996587,0.0546363830566406,Unlabeled
1.7859719999833,0.0300874328613281,Unlabeled
1.79599600000074,0.0643661499023438,Unlabeled
1.80602000001818,0.0577798461914063,Unlabeled
1.81604399997741,0.0378712463378906,Unlabeled
1.82606799999485,0.0360749816894531,Unlabeled
1.83609200001229,0.0576301574707031,Unlabeled
1.84611599997152,0.0517922973632813,Unlabeled
1.85613999998895,0.0537382507324219,Unlabeled
1.86616299999878,0.05748046875,Unlabeled
1.87618700001622,0.0508941650390625,Unlabeled
1.88621099997545,0.067060546875,Unlabeled
1.89623499999288,0.0504450988769531,Unlabeled
1.90625900001032,0.0453556823730469,Unlabeled
1.91628299996955,0.0643661499023438,Unlabeled
1.92630699998699,0.0393681335449219,Unlabeled
1.93633100000443,0.0444575500488281,Unlabeled
1.94635500002187,0.0585282897949219,Unlabeled
1.9563789999811,0.0517922973632813,Unlabeled
1.96640299999854,0.0363743591308594,Unlabeled
1.97642700001597,0.0351768493652344,Unlabeled
1.9864509999752,0.0555345153808594,Unlabeled
1.99647499999264,0.0431103515625,Unlabeled
2.00649900001008,0.051492919921875,Unlabeled
2.01652299996931,0.0363743591308594,Unlabeled
2.02654699998675,0.0621208190917969,Unlabeled
2.03656999999657,0.0330812072753906,Unlabeled
2.04659400001401,0.0558338928222656,Unlabeled
2.05661799997324,0.0654139709472656,Unlabeled
2.06664199999068,0.0477507019042969,Unlabeled
2.07666600000812,0.0411643981933594,Unlabeled
2.08668999996735,0.0705033874511719,Unlabeled
2.09671399998479,0.0441581726074219,Unlabeled
2.10673800000222,0.0414637756347656,Unlabeled
2.11676200001966,0.0429606628417969,Unlabeled
2.12678549997509,0.0690065002441406,Unlabeled
2.13680949999252,0.0510438537597656,Unlabeled
2.14683350000996,0.0513432312011719,Unlabeled
2.15685749996919,0.0389190673828125,Unlabeled
2.16688149998663,0.0597257995605469,Unlabeled
2.17690550000407,0.0484991455078125,Unlabeled
2.18692950002151,0.0734971618652344,Unlabeled
2.19695349998074,0.0474513244628906,Unlabeled
2.20697649999056,0.0579295349121094,Unlabeled
2.217000500008,0.0414637756347656,Unlabeled
2.22702449996723,0.0664617919921875,Unlabeled
2.23704849998467,0.0690065002441406,Unlabeled
2.24707250000211,0.0411643981933594,Unlabeled
2.25709650001954,0.0630189514160156,Unlabeled
2.26712049997877,0.0426612854003906,Unlabeled
2.27714449999621,0.0633183288574219,Unlabeled
2.28716850001365,0.0332308959960938,Unlabeled
2.29719249997288,0.0493972778320313,Unlabeled
2.30721649999032,0.0444575500488281,Unlabeled
2.31724050000776,0.0474513244628906,Unlabeled
2.32726449996699,0.0452059936523438,Unlabeled
2.33728849998442,0.0531394958496094,Unlabeled
2.34731149999425,0.0414637756347656,Unlabeled
2.35733550001169,0.0420625305175781,Unlabeled
2.36735949997092,0.0636177062988281,Unlabeled
2.37738349998835,0.0663121032714844,Unlabeled
2.38740750000579,0.0438587951660156,Unlabeled
2.39743150002323,0.0486488342285156,Unlabeled
2.40745549998246,0.0517922973632813,Unlabeled
2.4174794999999,0.0642164611816406,Unlabeled
2.42750350001734,0.0338296508789063,Unlabeled
2.43752749997657,0.0630189514160156,Unlabeled
2.44755149999401,0.0498463439941406,Unlabeled
2.45757550001144,0.05508544921875,Unlabeled
2.46759949997067,0.0447569274902344,Unlabeled
2.47762349998811,0.0447569274902344,Unlabeled
2.48764750000555,0.0685574340820313,Unlabeled
2.49767150002299,0.0493972778320313,Unlabeled
2.5076944999746,0.0470022583007813,Unlabeled
